runNumber,xShift,crossingAngle,negAngle,axialRotation,negRot,zShift,density,interface
2703,8.958,40.2802,True,68.0768,True,3.1783,1.0,000110011001100110000
2705,8.141,35.6063,True,65.112,True,4.1228,1.0,000110011001100110000
2708,8.5339,44.7359,True,48.8373,True,3.8552,0.94,000110011001100110000
2711,8.7804,42.6767,True,80.3937,True,0.6274,1.0,000110011001100110000
2713,8.7478,44.5047,True,82.5884,True,3.27,1.0,000110011001100110000
2715,9.0,44.2675,True,53.8628,True,5.4837,0.99,000110011001100110000
2718,8.5891,35.5526,True,74.5036,True,0.8568,0.98,000110011001100110000
2722,8.9928,35.0,True,65.6987,True,3.1531,1.0,000110011001100110000
2724,8.5563,38.1328,True,59.2728,True,1.5747,1.0,000110011001100110000
2729,8.6243,40.1,True,61.0115,True,5.2656,1.0,000110011001100110000
2730,8.1801,36.5649,True,77.3706,True,0.7594,0.98,000110011001100110000
2731,9.0,37.4416,True,91.9496,True,0.9115,0.98,000110011001100110000
2732,8.5573,44.8673,True,76.6346,True,1.2615,1.0,000110011001100110000
2736,8.4989,44.796,True,84.2639,True,3.8484,1.0,000110011001100110000
2739,8.7881,37.3331,True,78.834,True,1.3084,1.0,000110011001100110000
2740,9.0,45.0,True,70.6281,True,3.5812,1.0,000110011001100110000
2744,8.7422,35.0,True,51.2222,True,4.9465,0.98,000110011001100110000
2745,8.6727,38.5956,True,80.9715,True,2.6979,1.0,000110011001100110000
2746,8.6426,45.0,True,72.3622,True,4.7798,1.0,000110011001100110000
2747,9.0,44.111,True,71.9461,True,2.4115,1.0,000110011001100110000
2749,8.0,41.9221,True,57.3802,True,5.4806,1.0,000110011001100110000
2752,8.235,44.7778,True,60.5779,True,2.046,1.0,000110011001100110000
2753,8.1663,43.97,True,52.5615,True,2.3547,0.82,000110011001100110000
2754,8.226,41.6792,True,54.2627,True,0.9829,0.98,000110011001100110000
2755,8.4512,44.4724,True,51.1385,True,0.6395,0.94,000110011001100110000
2757,8.261,40.8039,True,64.8658,True,3.3639,1.0,000110011001100110000
2758,8.7546,43.9978,True,54.3101,True,1.639,0.99,000110011001100110000
2760,8.96,44.8073,True,60.4258,True,5.1149,1.0,000110011001100110000
2765,9.0,45.0,True,93.6678,True,1.1972,0.99,000110011001100110000
2767,8.1569,37.456,True,74.2807,True,2.3281,1.0,000110011001100110000
2773,8.5241,39.4582,True,73.6865,True,5.1592,1.0,000110011001100110000
2774,8.8835,44.879,True,66.9222,True,3.9396,1.0,000110011001100110000
2775,8.2373,35.0,True,86.0874,True,3.8625,1.0,000110011001100110000
2778,9.0,45.0,True,77.7638,True,1.5485,1.0,000110011001100110000
